Seed,Model,Dataset,Approach,Value,accuracy_10,f1_10,accuracy_50,f1_50,accuracy_100,f1_100,accuracy_250,f1_250,accuracy_500,f1_500,accuracy_750,f1_750,accuracy_1000,f1_1000,accuracy_2500,f1_2500,accuracy_5000,f1_5000,accuracy_7500,f1_7500,accuracy_9000,f1_9000
11,MLP,MNISTbinary,IneurAL (official),3885.0,0.7195,0.7195091640018055,0.7237,0.7116447168360875,0.8381,0.8380068378382263,0.8922,0.8922055543261181,0.908,0.9077573293667921,0.9392,0.9392023569143046,0.9444,0.944403009203081,0.9649,0.9649016663669862,,,,,,
12,MLP,MNISTbinary,IneurAL (official),3884.0,0.6576,0.6454776229364767,0.7601,0.7599594290218588,0.8315,0.8315079995110302,0.8536,0.852261461580145,0.9168,0.9166699616034916,0.9229,0.922871815884324,0.9437,0.9436820990395843,0.9657,0.9657015049132975,,,,,,
13,MLP,MNISTbinary,IneurAL (official),3646.0,0.6468,0.6452755671907102,0.7767,0.7747709555578668,0.8178,0.8170169209384492,0.8883,0.8883057136278374,0.923,0.9228964187768993,0.9224,0.9222369316530443,0.9501,0.9500856446192669,0.966,0.9659962897660762,,,,,,
14,MLP,MNISTbinary,IneurAL (official),3887.0,0.6825,0.6797974653563946,0.7074,0.6965369729904481,0.7782,0.7782095828777469,0.8671,0.8666129827899905,0.9072,0.9070502552429908,0.9266,0.9265812810524807,0.9276,0.9274462954776127,0.9578,0.9577562837200365,,,,,,
15,MLP,MNISTbinary,IneurAL (official),3746.0,0.6357,0.6253077694004909,0.7423,0.7320170511144993,0.8258,0.8243400279302394,0.89,0.8896547125280627,0.9125,0.9124572778244068,0.9296,0.9295867216671649,0.9379,0.9378550052675139,0.9574,0.9574007991775663,,,,,,
16,MLP,MNISTbinary,IneurAL (official),3567.0,0.6987,0.6889111071389374,0.7937,0.7917774603455433,0.8098,0.8079480625185299,0.8829,0.8828810990255752,0.9285,0.9285023359220289,0.935,0.9349948129084996,0.941,0.9409291646409558,0.9663,0.9663001465950132,,,,,,
17,MLP,MNISTbinary,IneurAL (official),3716.0,0.6444,0.6242272116877278,0.798,0.7966486790658022,0.83,0.8293006526968087,0.8867,0.886445830753894,0.9184,0.918219034980817,0.9436,0.9436025811431765,0.948,0.9479631909088634,0.9627,0.9627020244038211,,,,,,
18,MLP,MNISTbinary,IneurAL (official),3989.0,0.6664,0.6653545896497491,0.7463,0.7383436854493034,0.8233,0.821795943711732,0.8683,0.8682668753879583,0.9212,0.9212041134983782,0.9241,0.9241018606186255,0.9368,0.9367394574318681,0.9643,0.9642993754491072,,,,,,
19,MLP,MNISTbinary,IneurAL (official),3937.0,0.7118,0.7055600554172629,0.7956,0.7955946351010568,0.8432,0.8431922705017106,0.8822,0.8817040212302869,0.9263,0.926288109345347,0.9363,0.9362456990142387,0.9492,0.9491979029639209,0.9679,0.9679017319143117,,,,,,
20,MLP,MNISTbinary,IneurAL (official),4113.0,0.6195,0.5553162864691729,0.7627,0.7586479864466146,0.8367,0.8362709608186569,0.8934,0.8933569832001454,0.9323,0.9323018058502658,0.9358,0.9357878854714144,0.9468,0.9467973774916518,0.9602,0.9601941539056766,,,,,,
