,Model,Dataset,Approach,Value
225,MLP,MagicTelescope,IneurAL (tuned),4413.0
226,MLP,MagicTelescope,IneurAL (tuned),5001.0
227,MLP,MagicTelescope,IneurAL (tuned),5945.0
228,MLP,MagicTelescope,IneurAL (tuned),6462.0
229,MLP,MagicTelescope,IneurAL (tuned),4940.0
230,MLP,MagicTelescope,IneurAL (tuned),6099.0
231,MLP,MagicTelescope,IneurAL (tuned),5959.0
232,MLP,MagicTelescope,IneurAL (tuned),6261.0
233,MLP,MagicTelescope,IneurAL (tuned),5656.0
234,MLP,MagicTelescope,IneurAL (tuned),6461.0
235,MLP,MagicTelescope,IneurAL (tuned),6904.0
236,MLP,MagicTelescope,IneurAL (tuned),6151.0
237,MLP,MagicTelescope,IneurAL (tuned),5635.0
238,MLP,MagicTelescope,IneurAL (tuned),5611.0
239,MLP,MagicTelescope,IneurAL (tuned),6658.0
240,MLP,MagicTelescope,IneurAL (tuned),5666.0
241,MLP,MagicTelescope,IneurAL (tuned),4879.0
242,MLP,MagicTelescope,IneurAL (tuned),5244.0
243,MLP,MagicTelescope,IneurAL (tuned),5589.0
244,MLP,MagicTelescope,IneurAL (tuned),5707.0
245,MLP,MagicTelescope,IneurAL (tuned),5488.0
246,MLP,MagicTelescope,IneurAL (tuned),6131.0
247,MLP,MagicTelescope,IneurAL (tuned),5805.0
248,MLP,MagicTelescope,IneurAL (tuned),6111.0
249,MLP,MagicTelescope,Neuronal (official),3515.0
250,MLP,MagicTelescope,Neuronal (official),3526.0
251,MLP,MagicTelescope,Neuronal (official),3541.0
252,MLP,MagicTelescope,Neuronal (official),4050.0
253,MLP,MagicTelescope,Neuronal (official),6513.0
254,MLP,MagicTelescope,Neuronal (official),3886.0
255,MLP,MagicTelescope,Neuronal (official),3538.0
256,MLP,MagicTelescope,Neuronal (official),6460.0
257,MLP,MagicTelescope,Neuronal (official),4150.0
258,MLP,MagicTelescope,Neuronal (official),4328.0
259,MLP,MagicTelescope,Neuronal (official),4876.0
260,MLP,MagicTelescope,Neuronal (official),4600.0
261,MLP,MagicTelescope,Neuronal (official),4087.0
262,MLP,MagicTelescope,Neuronal (official),4543.0
263,MLP,MagicTelescope,Neuronal (official),4509.0
264,MLP,MagicTelescope,Neuronal (official),4396.0
265,MLP,MagicTelescope,Neuronal (official),4556.0
266,MLP,MagicTelescope,Neuronal (official),4606.0
267,MLP,MagicTelescope,Neuronal (official),4646.0
268,MLP,MagicTelescope,Neuronal (official),4648.0
269,MLP,MagicTelescope,Neuronal (official),4299.0
270,MLP,MagicTelescope,Neuronal (official),4564.0
271,MLP,MagicTelescope,Neuronal (official),4608.0
272,MLP,MagicTelescope,Neuronal (official),4729.0
273,MLP,MagicTelescope,Neuronal (official),5410.0
274,MLP,MagicTelescope,Neuronal (tuned),3554.0
275,MLP,MagicTelescope,Neuronal (tuned),3514.0
276,MLP,MagicTelescope,Neuronal (tuned),3510.0
277,MLP,MagicTelescope,Neuronal (tuned),3554.0
278,MLP,MagicTelescope,Neuronal (tuned),6516.0
279,MLP,MagicTelescope,Neuronal (tuned),3565.0
280,MLP,MagicTelescope,Neuronal (tuned),3508.0
281,MLP,MagicTelescope,Neuronal (tuned),3540.0
282,MLP,MagicTelescope,Neuronal (tuned),3525.0
283,MLP,MagicTelescope,Neuronal (tuned),3564.0
284,MLP,MagicTelescope,Neuronal (tuned),6532.0
285,MLP,MagicTelescope,Neuronal (tuned),6479.0
286,MLP,MagicTelescope,Neuronal (tuned),3502.0
287,MLP,MagicTelescope,Neuronal (tuned),3491.0
288,MLP,MagicTelescope,Neuronal (tuned),6475.0
289,MLP,MagicTelescope,Neuronal (tuned),3541.0
290,MLP,MagicTelescope,Neuronal (tuned),6521.0
291,MLP,MagicTelescope,Neuronal (tuned),3524.0
292,MLP,MagicTelescope,Neuronal (tuned),3547.0
293,MLP,MagicTelescope,Neuronal (tuned),3560.0
294,MLP,MagicTelescope,Neuronal (tuned),3532.0
295,MLP,MagicTelescope,Neuronal (tuned),6473.0
296,MLP,MagicTelescope,Neuronal (tuned),3479.0
297,MLP,MagicTelescope,Neuronal (tuned),3459.0
298,MLP,MagicTelescope,Neuronal (tuned),6440.0
299,MLP,MagicTelescope,Margin,3072.0
300,MLP,MagicTelescope,Margin,2916.0
301,MLP,MagicTelescope,Margin,2947.0
302,MLP,MagicTelescope,Margin,6530.0
303,MLP,MagicTelescope,Margin,3098.0
304,MLP,MagicTelescope,Margin,6444.0
305,MLP,MagicTelescope,Margin,2909.0
306,MLP,MagicTelescope,Margin,3508.0
307,MLP,MagicTelescope,Margin,2989.0
308,MLP,MagicTelescope,Margin,4725.0
309,MLP,MagicTelescope,Margin,3037.0
310,MLP,MagicTelescope,Margin,3514.0
311,MLP,MagicTelescope,Margin,4463.0
312,MLP,MagicTelescope,Margin,3087.0
313,MLP,MagicTelescope,Margin,3125.0
314,MLP,MagicTelescope,Margin,3923.0
315,MLP,MagicTelescope,Margin,3519.0
316,MLP,MagicTelescope,Margin,3496.0
317,MLP,MagicTelescope,Margin,2804.0
318,MLP,MagicTelescope,Margin,3496.0
319,MLP,MagicTelescope,Margin,3040.0
320,MLP,MagicTelescope,Margin,3505.0
321,MLP,MagicTelescope,Margin,3494.0
322,MLP,MagicTelescope,Margin,4180.0
323,MLP,MagicTelescope,Margin,6213.0
324,MLP,MagicTelescope,Cesa,2926.0
325,MLP,MagicTelescope,Cesa,3397.0
326,MLP,MagicTelescope,Cesa,3524.0
327,MLP,MagicTelescope,Cesa,2785.0
328,MLP,MagicTelescope,Cesa,3519.0
329,MLP,MagicTelescope,Cesa,3029.0
330,MLP,MagicTelescope,Cesa,4542.0
331,MLP,MagicTelescope,Cesa,3495.0
332,MLP,MagicTelescope,Cesa,3284.0
333,MLP,MagicTelescope,Cesa,3267.0
334,MLP,MagicTelescope,Cesa,2898.0
335,MLP,MagicTelescope,Cesa,3030.0
336,MLP,MagicTelescope,Cesa,3397.0
337,MLP,MagicTelescope,Cesa,3449.0
338,MLP,MagicTelescope,Cesa,6416.0
339,MLP,MagicTelescope,Cesa,3600.0
340,MLP,MagicTelescope,Cesa,3051.0
341,MLP,MagicTelescope,Cesa,3480.0
342,MLP,MagicTelescope,Cesa,3097.0
343,MLP,MagicTelescope,Cesa,3087.0
344,MLP,MagicTelescope,Cesa,2968.0
345,MLP,MagicTelescope,Cesa,3084.0
346,MLP,MagicTelescope,Cesa,2928.0
347,MLP,MagicTelescope,Cesa,3449.0
348,MLP,MagicTelescope,Cesa,3234.0
349,MLP,adult,Neural-CBP,2138.0
